K,Time (s),Memory (KB),Passes
1,0.01,4192.0,3.25
2,0.01,3140.0,3.25
3,0.01,4196.0,3.25
4,0.01,4168.0,3.25
5,0.01,4164.0,3.25
6,0.01,4168.0,3.25
7,0.01,4168.0,3.25
8,0.01,4168.0,3.24
9,0.01,4212.0,3.24
10,0.01,4168.0,3.24
12,0.01,4224.0,3.23
14,0.01,4168.0,3.23
16,0.01,4168.0,3.23
18,0.01,4224.0,3.22
20,0.01,4168.0,3.22
25,0.01,4168.0,3.21
30,0.01,4168.0,3.19
35,0.01,4168.0,3.15
40,0.01,4176.0,3.1
50,0.01,4168.0,3.03
60,0.01,3108.0,2.95
70,0.01,4180.0,2.72
80,0.01,4168.0,2.47
90,0.01,4196.0,2.32
100,0.01,4168.0,2.25
150,0.01,4168.0,2.19
200,0.01,4196.0,2.0
250,0.01,4196.0,2.0
300,0.01,4168.0,2.0
350,0.01,4196.0,2.0
400,0.01,4168.0,2.0
450,0.01,4168.0,2.0
500,0.01,4168.0,2.0
550,0.01,4168.0,2.0
600,0.01,4164.0,2.0
650,0.01,4184.0,2.0
700,0.01,4168.0,2.0
750,0.01,4164.0,2.0
800,0.01,4196.0,2.0
850,0.01,3196.0,2.0
900,0.01,4168.0,2.0
950,0.01,4168.0,2.0
1000,0.01,4260.0,2.0
