N,Time (s),Memory (KB),Passes
10,0.0,11864.0,1.0
20,0.0,19064.0,1.0
30,0.0,25884.0,1.0
40,0.0,32860.0,1.0
50,0.0,40140.0,1.0
60,0.0,46516.0,1.0
70,0.0,53236.0,1.0
80,0.0,60284.0,1.0
90,0.0,67168.0,1.0
100,0.0,73892.0,1.0
150,0.0,107676.0,1.0
200,0.0,144316.0,1.0
250,0.0,179444.0,1.0
300,0.0,214276.0,1.0
350,0.0,248436.0,1.0
400,0.0,283104.0,1.0
450,0.0,318976.0,1.0
500,0.0,352508.0,1.0
600,0.0,418376.0,1.0
700,0.0,487568.0,1.0
800,0.0,558240.0,1.0
900,0.0,627864.0,1.0
1000,0.0,699104.0,1.0
1200,0.01,5568.0,2.0
1400,0.01,5900.0,2.0
1600,0.01,6176.0,2.0
1800,0.01,6296.0,2.0
2000,0.01,6648.0,2.0
2500,0.01,7248.0,2.0
3000,0.02,8092.0,2.0
3500,0.02,8632.0,2.0
4000,0.03,9316.0,2.0
4500,0.03,10156.0,2.0
5000,0.03,10716.0,2.0
6000,0.04,12136.0,2.0
7000,0.05,13468.0,2.0
8000,0.06,14920.0,2.0
9000,0.06,16060.0,2.0
10000,0.07,17692.0,2.0
