K,Time (s),Memory (KB),Passes
1,0.16,4136.0,19.0
2,0.07,3108.0,8.1
3,0.06,4160.0,6.33
4,0.05,3120.0,5.31
5,0.04,4164.0,4.69
6,0.04,4180.0,3.91
7,0.04,5216.0,3.74
8,0.03,4132.0,3.54
9,0.03,4160.0,3.01
10,0.03,5196.0,3.0
12,0.03,5180.0,2.96
14,0.03,4156.0,2.54
16,0.02,5172.0,2.17
18,0.02,5156.0,2.06
20,0.02,5236.0,2.0
25,0.02,5156.0,2.0
30,0.02,6208.0,2.0
35,0.01,69700.0,1.0
40,0.01,69692.0,1.0
50,0.01,68664.0,1.0
75,0.01,69728.0,1.0
100,0.01,68676.0,1.0
250,0.01,68664.0,1.0
500,0.01,69688.0,1.0
750,0.01,67620.0,1.0
1000,0.01,69712.0,1.0
2500,0.01,68644.0,1.0
5000,0.01,69692.0,1.0
7500,0.01,68680.0,1.0
10000,0.01,68676.0,1.0
