N,Time (s),Memory (KB),Passes
10,0.0,11928.0,1.0
20,0.0,19108.0,1.0
30,0.0,26004.0,1.0
40,0.0,32992.0,1.0
50,0.0,39992.0,1.0
60,0.0,46428.0,1.0
70,0.0,53424.0,1.0
80,0.0,60224.0,1.0
90,0.0,67200.0,1.0
100,0.0,73992.0,1.0
150,0.0,107640.0,1.0
200,0.0,144320.0,1.0
250,0.0,179548.0,1.0
300,0.0,214472.0,1.0
350,0.0,248604.0,1.0
400,0.0,283388.0,1.0
450,0.0,318992.0,1.0
500,0.0,352724.0,1.0
600,0.0,418588.0,1.0
700,0.0,487672.0,1.0
800,0.0,558292.0,1.0
900,0.0,628040.0,1.0
1000,0.0,699176.0,1.0
1200,0.01,5860.0,2.0
1400,0.01,5940.0,2.0
1600,0.01,6256.0,2.0
1800,0.01,6548.0,2.0
2000,0.01,6632.0,2.0
2500,0.02,7396.0,2.0
3000,0.02,8140.0,2.0
3500,0.03,8912.0,2.0
4000,0.03,9596.0,2.0
4500,0.03,10228.0,2.0
5000,0.03,11136.0,2.0
6000,0.04,12380.0,2.0
7000,0.05,13344.0,2.0
8000,0.06,15008.0,2.0
9000,0.06,16432.0,2.0
10000,0.04,17948.0,1.6
