K,Time (s),Memory (KB),Passes
1,0.03,3184.0,9.76
2,0.01,4196.0,3.96
3,0.01,4168.0,3.0
4,0.01,4192.0,2.83
5,0.01,5188.0,2.19
6,0.01,5220.0,2.17
7,0.01,5188.0,2.08
8,0.01,5188.0,2.0
9,0.01,5192.0,2.0
10,0.0,66632.0,1.0
12,0.0,64548.0,1.0
14,0.0,66660.0,1.0
16,0.0,66740.0,1.0
18,0.0,66648.0,1.0
20,0.0,66632.0,1.0
25,0.0,66648.0,1.0
30,0.0,66656.0,1.0
35,0.0,66660.0,1.0
40,0.0,66660.0,1.0
50,0.0,66632.0,1.0
75,0.0,66632.0,1.0
100,0.0,66640.0,1.0
250,0.0,66632.0,1.0
500,0.0,66660.0,1.0
750,0.0,66660.0,1.0
1000,0.0,66632.0,1.0
2500,0.0,66632.0,1.0
5000,0.0,65572.0,1.0
7500,0.0,65592.0,1.0
10000,0.0,66660.0,1.0
