N,Time (s),Memory (KB),Passes
10,0.0,4168.0,1.0
20,0.0,4164.0,1.0
30,0.0,4224.0,1.0
40,0.0,4168.0,1.0
50,0.0,4196.0,1.0
60,0.0,4168.0,1.4
70,0.0,4164.0,1.5
80,0.0,4196.0,1.8
90,0.0,4168.0,2.0
100,0.0,4168.0,2.0
150,0.0,4164.0,2.0
200,0.0,4196.0,2.0
250,0.0,4168.0,2.0
300,0.0,4224.0,2.0
350,0.0,4168.0,2.0
400,0.0,4196.0,2.0
450,0.0,4188.0,2.0
500,0.01,4168.0,2.0
550,0.01,4168.0,2.0
600,0.01,4168.0,2.0
650,0.01,4196.0,2.0
700,0.01,4168.0,2.0
750,0.01,4168.0,2.0
800,0.01,4168.0,2.0
850,0.01,4168.0,2.0
900,0.01,4172.0,2.0
950,0.01,4168.0,2.0
1000,0.01,5212.0,2.0
