K,Time (s),Memory (KB),Passes
50,0.01,4168.0,3.03
60,0.01,3108.0,2.95
70,0.01,4180.0,2.72
80,0.01,4168.0,2.47
90,0.01,4196.0,2.32
100,0.01,4168.0,2.25
150,0.01,4168.0,2.19
200,0.01,4196.0,2.0
250,0.01,4196.0,2.0
300,0.01,4168.0,2.0
350,0.01,4196.0,2.0
400,0.01,4168.0,2.0
450,0.01,4168.0,2.0
500,0.01,4168.0,2.0
550,0.01,4168.0,2.0
600,0.01,4164.0,2.0
650,0.01,4184.0,2.0
700,0.01,4168.0,2.0
750,0.01,4164.0,2.0
800,0.01,4196.0,2.0
850,0.01,3196.0,2.0
900,0.01,4168.0,2.0
950,0.01,4168.0,2.0
1000,0.01,4260.0,2.0
